,Unnamed: 0,name,title,SPEAKER,words,power,danger
0,0,Alvaro Castillo,AlvaroCastillothanksthecourt8-21-09,SPEAKER_00,first,0.270568,-0.078046
0,0,Alvaro Castillo,AlvaroCastillothanksthecourt8-21-09,SPEAKER_00,would,-0.098469,-0.058668
0,0,Alvaro Castillo,AlvaroCastillothanksthecourt8-21-09,SPEAKER_00,like,-0.000376,-0.262014
0,0,Alvaro Castillo,AlvaroCastillothanksthecourt8-21-09,SPEAKER_00,thank,0.176527,-0.431498
0,0,Alvaro Castillo,AlvaroCastillothanksthecourt8-21-09,SPEAKER_00,lord,0.109156,-0.196639
0,0,Alvaro Castillo,AlvaroCastillothanksthecourt8-21-09,SPEAKER_00,god,0.416318,-0.157665
0,0,Alvaro Castillo,AlvaroCastillothanksthecourt8-21-09,SPEAKER_00,blessings,0.236111,-0.400842
0,0,Alvaro Castillo,AlvaroCastillothanksthecourt8-21-09,SPEAKER_00,would,-0.098469,-0.058668
0,0,Alvaro Castillo,AlvaroCastillothanksthecourt8-21-09,SPEAKER_00,like,-0.000376,-0.262014
0,0,Alvaro Castillo,AlvaroCastillothanksthecourt8-21-09,SPEAKER_00,thank,0.176527,-0.431498
0,0,Alvaro Castillo,AlvaroCastillothanksthecourt8-21-09,SPEAKER_00,family,0.280516,-0.413042
0,0,Alvaro Castillo,AlvaroCastillothanksthecourt8-21-09,SPEAKER_00,friends,0.30875,-0.298097
0,0,Alvaro Castillo,AlvaroCastillothanksthecourt8-21-09,SPEAKER_00,are,-0.000604,-0.299783
0,0,Alvaro Castillo,AlvaroCastillothanksthecourt8-21-09,SPEAKER_00,love,0.383142,-0.341205
0,0,Alvaro Castillo,AlvaroCastillothanksthecourt8-21-09,SPEAKER_00,support,0.312895,-0.234098
1,1,Alvaro Castillo,AlvaroCastillothanksthecourt8-21-09,SPEAKER_00,would,-0.098469,-0.058668
1,1,Alvaro Castillo,AlvaroCastillothanksthecourt8-21-09,SPEAKER_00,like,-0.000376,-0.262014
